model,feature,importance,importance_norm
lightgbm,total_spend,879.0,0.045496894409937885
lightgbm,transactions_per_member_day,796.0,0.0412008281573499
lightgbm,mean_plan_price,773.0,0.040010351966873706
lightgbm,member_age_days,683.0,0.035351966873706
lightgbm,days_since_last_transaction,602.0,0.031159420289855074
lightgbm,listen_unique_share,590.0,0.030538302277432712
lightgbm,auto_renew_rate,571.0,0.029554865424430643
lightgbm,recent_activity_gap,556.0,0.02877846790890269
lightgbm,cancel_rate,531.0,0.02748447204968944
lightgbm,mean_spend,530.0,0.027432712215320912
lightgbm,days_since_last_log,492.0,0.02546583850931677
lightgbm,trans_count_decay_7d,488.0,0.02525879917184265
lightgbm,trans_count_decay_90d,488.0,0.02525879917184265
lightgbm,mean_completion_rate,428.0,0.02215320910973085
lightgbm,mean_unq,423.0,0.021894409937888198
lightgbm,listen_decay_7d,420.0,0.021739130434782608
lightgbm,trans_per_active_day,409.0,0.021169772256728777
lightgbm,spend_per_active_day,397.0,0.02054865424430642
lightgbm,mean_plan_days,392.0,0.020289855072463767
lightgbm,total_985,379.0,0.019616977225672877
lightgbm,total_25,376.0,0.019461697722567287
lightgbm,mean_discount_amount,371.0,0.01920289855072464
lightgbm,trans_count_decay_14d,362.0,0.018737060041407867
lightgbm,trans_count_decay_30d,351.0,0.01816770186335404
lightgbm,total_50,350.0,0.018115942028985508
lightgbm,max_spend,343.0,0.017753623188405798
lightgbm,active_days,340.0,0.017598343685300208
lightgbm,registration_month,334.0,0.01728778467908903
lightgbm,total_75,331.0,0.017132505175983435
lightgbm,bd_clean,326.0,0.016873706004140787
lightgbm,trans_count,315.0,0.016304347826086956
lightgbm,events_per_active_day,280.0,0.014492753623188406
lightgbm,completion_rate,277.0,0.014337474120082816
lightgbm,listen_completion_share,276.0,0.014285714285714285
lightgbm,spend_per_transaction,262.0,0.013561076604554866
lightgbm,mean_discount_rate,222.0,0.011490683229813664
lightgbm,registration_dayofweek,220.0,0.011387163561076604
