feature,mean_abs_shap
auto_renew_rate,0.7770825
cancel_rate,0.2649599
mean_plan_price,0.21151873
recency_weighted_total_spend,0.13347422
total_spend,0.117128424
no_auto_renew_recent_usage,0.09238314
trans_count,0.08267425
member_age_days,0.08027739
trans_count_decay_90d,0.07686283
total_secs_7d,0.07222906
total_unq_7d,0.06459675
active_days_30d,0.06127752
mean_spend,0.061154842
bd_age_valid,0.05979696
recent_activity_gap,0.05530557
active_days_14d,0.052983128
max_spend,0.052228574
registration_month,0.048911925
transactions_per_member_day,0.048511107
days_since_last_transaction,0.047640987
active_days_7d,0.046964694
days_since_last_log,0.04561911
mean_plan_days,0.04467579
trans_count_decay_30d,0.04082413
active_days_14d_vs_30d_ratio,0.036401708
spend_per_active_day,0.034323137
retention_rate_from_transactions,0.031197796
trans_count_decay_7d,0.028831657
total_75,0.028284814
total_985,0.027235737
mean_discount_amount,0.025595585
total_unq_14d,0.02448106
spend_per_transaction,0.02244471
secs_per_active_day_14d,0.022020517
skip_rate_14d,0.020100588
mean_completion_rate,0.019985963
secs_per_active_day_7d,0.019616287
total_50,0.019280486
secs_prior_23d,0.018876795
skip_rate_30d,0.01867173
trans_per_active_day,0.018520748
bd_clean,0.01808577
active_days_prior_23d,0.01765235
registration_dayofweek,0.016446488
mean_discount_rate,0.016176373
completion_rate_30d,0.015998157
age_band,0.015963122
secs_14d_vs_30d_ratio,0.015947534
recency_weighted_listen_events,0.0159338
skip_rate_delta_14d_30d,0.0157708
listen_unique_share,0.015764607
active_days_7d_vs_30d_ratio,0.014919342
spend_per_sec,0.014788701
skip_rate_delta_7d_30d,0.014596251
total_secs_14d,0.014561882
trans_count_decay_14d,0.014071627
active_days,0.013900622
unq_14d_vs_30d_ratio,0.013834309
mean_unq,0.013429183
total_25,0.013157891
recency_weighted_total_secs,0.012914767
recency_weighted_usage_to_spend,0.012781977
completion_rate_delta_14d_30d,0.012526733
usage_to_spend_ratio,0.012252923
events_per_active_day,0.012167454
skip_rate_7d,0.011928102
retention_profile_interaction,0.011338904
listen_decay_7d,0.011268065
unq_per_active_day_30d,0.011033368
unq_prior_23d,0.010859791
secs_per_active_day,0.010823914
completion_rate_7d,0.010649723
total_unq_30d,0.010473049
listen_completion_share,0.01024138
total_unq,0.00988777
cancel_count,0.009710045
completion_rate,0.009700437
total_secs_30d,0.00947814
completion_rate_delta_7d_30d,0.009423845
price_per_recent_listening_depth,0.009415106
completion_rate_14d,0.009061647
listen_decay_30d,0.008927452
recent_usage_value_interaction,0.008756047
unq_per_active_day_14d,0.008682897
unq_7d_vs_30d_ratio,0.008584809
secs_decay_30d,0.008562464
unq_7d_vs_prior_23d_ratio,0.008491637
unq_per_active_day_7d,0.007840275
secs_7d_vs_prior_23d_ratio,0.0077759987
secs_7d_vs_30d_ratio,0.007767523
registration_init_time_missing,0.007701459
recent_listening_intensity,0.007569577
secs_per_active_day_30d,0.007385228
midterm_listening_intensity,0.007289963
secs_decay_7d,0.006791662
total_100,0.0066562593
secs_decay_14d,0.006463072
mean_secs,0.006287568
listen_events_total,0.00609771
secs_decay_90d,0.00551987
active_days_7d_vs_prior_23d_ratio,0.0051065534
registration_year,0.0050440845
total_secs,0.0044147833
total_secs_log1p,0.0041279113
listen_decay_14d,0.0039395494
listen_decay_90d,0.0033570915
secs_per_active_day_z,0.003343323
recent_transaction_30d,0.00254323
gender_clean,0.002471939
gender_missing,0.0011458597
last_expire_date_missing,0.0010487912
recent_usage_90d,0.0009100139
last_log_date_missing,0.0006795361
last_transaction_date_missing,0.0003993328
recent_usage_7d,0.00034721298
recent_transaction_7d,0.0003232483
recent_usage_30d,0.00016867726
recent_transaction_flag,0.00013996402
recent_transaction_14d,0.00010037961
recent_transaction_90d,5.0371593e-05
profile_completeness,3.35025e-05
recent_usage_14d,0.0
bd_missing,0.0
registered_via_missing,0.0
recent_usage_flag,0.0
